direction,opcode,size,entry_addr,handler_addr,handler_name,handler_source
CLIENT,96,0,0x015d38b0,,UNBOUND,UNBOUND
CLIENT,97,-1,0x015d38a0,,FUN_002d0680,BINDER
CLIENT,98,-1,0x015d3890,,FUN_001729b0,BINDER
CLIENT,99,-1,0x015d3880,,FUN_002d0830,BINDER
CLIENT,100,-1,0x015d3870,,SendFriendlistAdd,BINDER
CLIENT,101,7,0x015d3860,,SendOpTargetOption_CS2,BINDER
CLIENT,102,-2,0x015d3850,,SendIfServerTransmit,BINDER
CLIENT,103,8,0x015d3840,0x01365928,0x01365928->IfButtonXInner,CS2_TABLE
CLIENT,104,2,0x015d3830,,UNBOUND,UNBOUND
CLIENT,105,-2,0x015d3820,,SendAppletFocusEvents,BINDER
CLIENT,106,1,0x015d3810,,SendMultiDisplayPackets,BINDER
CLIENT,107,0,0x015d3800,,SendMapBuildComplete,BINDER
CLIENT,108,3,0x015d37f0,,SendIfButtonN_CS2,BINDER
CLIENT,109,9,0x015d37e0,,FUN_0015c810,BINDER
CLIENT,110,7,0x015d37d0,,SendEventMouseMove,BINDER
CLIENT,111,9,0x015d37c0,,FUN_0015c830,BINDER
CLIENT,112,7,0x015d37b0,,SendOpTargetOption_CS2,BINDER
CLIENT,113,3,0x015d37a0,,FUN_0015c410,BINDER
CLIENT,114,-1,0x015d3790,,FUN_00269660,BINDER
CLIENT,115,3,0x015d3780,,FUN_00269560,BINDER
CLIENT,116,2,0x015d3770,,FUN_002d05a0,BINDER
CLIENT,117,-1,0x015d3760,,SendEncodedString,BINDER
CLIENT,118,-1,0x015d3750,,activechatphrase_send,BINDER
CLIENT,119,-2,0x015d3740,,SendResumePauseButton,BINDER
CLIENT,120,8,0x015d3730,,SendStrtoll,BINDER
CLIENT,121,3,0x015d3720,,FUN_0015c3b0,BINDER
CLIENT,122,-2,0x015d3710,,FUN_002d1af0,BINDER
CLIENT,123,1,0x015d3700,,SendBugReport,BINDER
CLIENT,124,-1,0x015d36f0,,SendMessagePublic,BINDER
CLIENT,125,9,0x015d36e0,,FUN_0015c850,BINDER
CLIENT,126,9,0x015d36d0,,FUN_0015c7d0,BINDER
CLIENT,127,8,0x015d36c0,0x01365920,0x01365920->IfButtonXInner,CS2_TABLE
CLIENT,128,-2,0x015d36b0,,UNBOUND,UNBOUND
CLIENT,129,-1,0x015d36a0,,SendOpLocCS2,BINDER
