# Per-quest MasterQuestVar dump from cache opcode 3 (primary) and opcode 4 (alt).
# Format: <questId>  <name>  | op3=[(operator,varId,value)...]  op4=[...]
#
   0  Cabin Fever                                        | op3=[]  op4=[]
 417  Vengeance (saga)                                   | op3=[]  op4=[(45856,1,3)]
 418  Thok It To 'Em (saga)                              | op3=[]  op4=[(45857,1,3)]
 419  Nadir (saga)                                       | op3=[]  op4=[(45858,1,3)]
 420  Thok Your Block Off (saga)                         | op3=[]  op4=[(45859,1,3)]
 421  Doric's Task I (miniquest)                         | op3=[]  op4=[(10010,1,3)]
 422  Doric's Task II (miniquest)                        | op3=[]  op4=[(10012,1,5)]
 423  Doric's Task III (miniquest)                       | op3=[]  op4=[(10011,1,3)]
 424  Doric's Task IV (miniquest)                        | op3=[]  op4=[(10014,1,3)]
 425  Doric's Task V (miniquest)                         | op3=[]  op4=[(10016,1,2)]
 426  Doric's Task VI (miniquest)                        | op3=[]  op4=[(10017,1,2)]
 427  Doric's Task VII (miniquest)                       | op3=[]  op4=[(10018,1,6)]
 428  Doric's Task VIII (miniquest)                      | op3=[]  op4=[(10019,1,4)]
 429  Boric's Task I (miniquest)                         | op3=[]  op4=[(10022,1,2)]
 430  Boric's Task II (miniquest)                        | op3=[]  op4=[(10023,1,2)]
 431  Boric's Task III (miniquest)                       | op3=[]  op4=[(10029,1,2)]
 432  Wandering Ga'al (miniquest)                        | op3=[]  op4=[(18388,1,1)]
 433  Koschei's Troubles (miniquest)                     | op3=[]  op4=[(18023,1,50)]
 434  Mahjarrat Memories (miniquest)                     | op3=[]  op4=[(43794,1,7)]
 435  Tales of the God Wars (miniquest)                  | op3=[]  op4=[(30678,5,35)]
 436  Benedict's World Tour (miniquest)                  | op3=[]  op4=[(31143,2,10)]
 437  In Memory of the Myreque (miniquest)               | op3=[]  op4=[(31092,1,3)]
 438  The Lost Toys (miniquest)                          | op3=[]  op4=[(31089,1,3)]
 439  Tales of Nomad (miniquest)                         | op3=[]  op4=[(33784,1,36)]
 440  Flag Fall (miniquest)                              | op3=[]  op4=[(33156,2,8)]
 441  Head of the Family (miniquest)                     | op3=[]  op4=[(33152,2,14)]
 442  Spiritual Enlightenment (miniquest)                | op3=[]  op4=[(33177,1,6)]
 443  Jed Hunter (miniquest)                             | op3=[]  op4=[(33157,1,7)]
 444  Eye for an Eye (miniquest)                         | op3=[]  op4=[(33931,1,11)]
 445  Harbinger (miniquest)                              | op3=[]  op4=[(33932,2,22)]
 446  Tuai Leit's Own (miniquest)                        | op3=[]  op4=[(33933,2,32)]
 447  Ghosts from the Past (miniquest)                   | op3=[]  op4=[(33934,2,10)]
 448  Damage Control (miniquest)                         | op3=[]  op4=[(33935,2,16)]
 449  Final Destination (miniquest)                      | op3=[]  op4=[(33936,2,24)]
 450  Rebuilding Edgeville (miniquest)                   | op3=[]  op4=[(40083,5,10)]
 451  Guilded Eggstravaganza                             | op3=[]  op4=[(43847,1,20)]
 452  Raksha, the Shadow Colossus                        | op3=[]  op4=[]
 453  Violet is Blue Too                                 | op3=[]  op4=[(36215,5,100)]
 454  The Vault of Shadows                               | op3=[]  op4=[]
 455  Once Upon a Slime                                  | op3=[]  op4=[(45846,5,75)]
 456                                                     | op3=[]  op4=[]
 457                                                     | op3=[]  op4=[]
 458  Desperate Measures                                 | op3=[]  op4=[]
 459  Sins of the Father                                 | op3=[]  op4=[]
 460  Desperate Times                                    | op3=[]  op4=[(44002,10,260)]
 461  Helping Laniakea                                   | op3=[]  op4=[(44190,1,3)]
 462  Father and Son                                     | op3=[]  op4=[(44361,1,3)]
 463  Foreshadowing                                      | op3=[]  op4=[]
 464  Tortle Combat (miniquest)                          | op3=[]  op4=[(48922,5,100)]
 465  Desperate Measures                                 | op3=[]  op4=[(47606,20,500)]
 466  Sins of the Father                                 | op3=[]  op4=[(15817,1,10)]
 467  Raksha, the Shadow Colossus                        | op3=[]  op4=[(48704,5,100)]
 468  Heartstealer                                       | op3=[]  op4=[(48946,15,90)]
 469  Azzanadra's Quest                                  | op3=[]  op4=[(9969,30,500)]
 470  The Vault of Shadows                               | op3=[]  op4=[(48871,1,3)]
 471  Foreshadowing                                      | op3=[]  op4=[(22150,5,70)]
 472  Flashback                                          | op3=[]  op4=[(18222,5,100)]
 473  Battle of the Monolith                             | op3=[]  op4=[(49349,10,180)]
 474  City of Senntisten                                 | op3=[]  op4=[(49450,5,85)]
 475  Fortunes                                           | op3=[]  op4=[(49592,1,45)]
 476  Finale                                             | op3=[]  op4=[(38795,5,40)]
 477  Once Upon a Time in Gielinor                       | op3=[]  op4=[(50589,1,2)]
 478  Eye of Het I                                       | op3=[]  op4=[(50883,1,50)]
 479  Eye of Het II                                      | op3=[]  op4=[(50884,1,60)]
 480  Extinction                                         | op3=[]  op4=[(51136,1,520)]
 481  Twilight of the Gods                               | op3=[]  op4=[(51347,5,195)]
 482  Aftermath                                          | op3=[]  op4=[(51552,5,40)]
 483  Daughter of Chaos                                  | op3=[]  op4=[(51682,5,210)]
 484  Civil War I (miniquest)                            | op3=[]  op4=[(52186,5,30)]
 485  Civil War II (miniquest)                           | op3=[]  op4=[(52187,5,30)]
 486  Civil War III (miniquest)                          | op3=[]  op4=[(52188,5,35)]
 487  Succession                                         | op3=[]  op4=[(52349,5,255)]
 488  Desperate Creatures                                | op3=[]  op4=[(47712,1,6)]
 489  New Foundations                                    | op3=[]  op4=[(52592,5,65)]
 490  Murder on the Border                               | op3=[]  op4=[(52689,5,195)]
 491  Unwelcome Guests                                   | op3=[]  op4=[(52844,5,120)]
 492  Dead and Buried                                    | op3=[]  op4=[(53035,2,100)]
 493  Necromancy!                                        | op3=[]  op4=[(53549,5,70)]
 494  Rune Mythos                                        | op3=[]  op4=[(53546,5,30)]
 495  Vessel of the Harbinger                            | op3=[]  op4=[(53499,3,60)]
 496  The Spirit of War                                  | op3=[]  op4=[(53503,5,40)]
 497  Tomes of the Warlock                               | op3=[]  op4=[(53555,5,31)]
 498  Remains of the Necrolord                           | op3=[]  op4=[(53510,5,70)]
 499  Alpha vs Omega                                     | op3=[]  op4=[(53497,5,30)]
 500  Kili Row                                           | op3=[]  op4=[(53496,5,35)]
 501  That Old Black Magic                               | op3=[]  op4=[(53464,1,2)]
 502  Ancient Awakening                                  | op3=[]  op4=[(54562,2,50)]
 503  My One and Only Lute                               | op3=[]  op4=[(53466,1,3)]
 504  Skelly By Everlight                                | op3=[]  op4=[(53468,1,3)]
 505  Flesh and Bone                                     | op3=[]  op4=[(53476,1,3)]
 506  Hermy and Bass                                     | op3=[]  op4=[(53469,1,3)]
 507  Battle of Forinthry                                | op3=[]  op4=[(54707,5,50)]
 508  It's Snow Bother                                   | op3=[]  op4=[(54817,5,100)]
 509  Housing of Parliament                              | op3=[]  op4=[(54642,5,50)]
 510  Great Egg-spectations                              | op3=[]  op4=[(55285,5,45)]
 511  Requiem for a Dragon                               | op3=[]  op4=[(55367,2,65)]
 512  Osseous Rex                                        | op3=[]  op4=[(55491,5,30)]
 513  Soul Searching                                     | op3=[]  op4=[(55818,5,65)]
 514  Ode of the Devourer                                | op3=[]  op4=[(56000,3,57)]
 515  Field of Screams                                   | op3=[]  op4=[(56160,5,110)]
 516  A Christmas Reunion                                | op3=[]  op4=[(56876,5,60)]
 517  Beneath Scabaras' Sands                            | op3=[]  op4=[(57037,3,114)]
 518  Achievement System                                 | op3=[]  op4=[]
 519  Pharaoh's Folly                                    | op3=[]  op4=[(57818,5,110)]
 520  Duck Quest                                         | op3=[]  op4=[(58012,5,115)]
 521  Eclipse of the Heart                               | op3=[]  op4=[(58246,3,138)]
 522  Stellar Born                                       | op3=[]  op4=[(59915,10,140)]
 523  Guys and Dolls                                     | op3=[]  op4=[(59993,5,65)]
 524  Cold Front                                         | op3=[]  op4=[(60343,5,100)]
 525  Princess and the Pauper                            | op3=[]  op4=[(18806,5,100)]
 526  Visions of Havenhythe                              | op3=[]  op4=[(60595,3,51)]
 527  Hearts of Sanguine                                 | op3=[]  op4=[(60597,3,75)]
 528  Hermit Permits                                     | op3=[]  op4=[(60814,5,80)]
 529  Wiz Kid                                            | op3=[]  op4=[(60829,5,95)]
 530  Corporate Egg-spionage                             | op3=[]  op4=[(60888,5,45)]
